2019-05-26 18:16:19,188 [  13326]   INFO - ij.psi.stubs.StubUpdatingIndex - Following new file types will be indexed:Markdown,Stylus,ActionScript,Spacebars,Sass,ECMAScript 6,JSX Harmony,TypeScript JSX,JavaScript,EJS,JSP,Angular Metadata JSON,HTML,Jade,CSS,Handlebars/Mustache,Less,Angular2Html,CoffeeScript,Vue.js,Literate CoffeeScript,TypeScript,SCSS,Flow,XML 
2019-05-26 18:16:19,238 [  13376]   INFO - il.indexing.FileBasedIndexImpl - Index Trigram.Index will be built. 
2019-05-26 18:16:19,262 [  13400]   INFO - il.indexing.FileBasedIndexImpl - Index fileIncludes will be built. 
2019-05-26 18:16:19,277 [  13415]   INFO - il.indexing.FileBasedIndexImpl - Index DomFileIndex will be built. 
2019-05-26 18:16:19,279 [  13417]   INFO - il.indexing.FileBasedIndexImpl - Index RelaxSymbolIndex will be built. 
2019-05-26 18:16:19,283 [  13421]   INFO - il.indexing.FileBasedIndexImpl - Index XmlTagNames will be built. 
2019-05-26 18:16:19,285 [  13423]   INFO - il.indexing.FileBasedIndexImpl - Index XmlNamespaces will be built. 
2019-05-26 18:16:19,286 [  13424]   INFO - plication.impl.ApplicationImpl - 72 application components initialized in 7704ms 
2019-05-26 18:16:19,289 [  13427]   INFO - il.indexing.FileBasedIndexImpl - Index html5.custom.attributes.index will be built. 
2019-05-26 18:16:19,291 [  13429]   INFO - .intellij.idea.IdeaApplication - App initialization took 14525 ms 
2019-05-26 18:16:19,292 [  13430]   INFO - il.indexing.FileBasedIndexImpl - Index SchemaTypeInheritance will be built. 
2019-05-26 18:16:19,296 [  13434]   INFO - il.indexing.FileBasedIndexImpl - Index ImageFileInfoIndex will be built. 
2019-05-26 18:16:19,303 [  13441]   INFO - il.indexing.FileBasedIndexImpl - Index json.file.root.values will be built. 
2019-05-26 18:16:19,307 [  13445]   INFO - il.indexing.FileBasedIndexImpl - Index HtmlTagIdIndex will be built. 
2019-05-26 18:16:19,315 [  13453]   INFO - il.indexing.FileBasedIndexImpl - Index XsltSymbolIndex will be built. 
2019-05-26 18:16:19,320 [  13458]   INFO - il.indexing.FileBasedIndexImpl - Index CssIndex will be built. 
2019-05-26 18:16:19,326 [  13464]   INFO - il.indexing.FileBasedIndexImpl - Index css.template.selectors will be built. 
2019-05-26 18:16:19,328 [  13466]   INFO - il.indexing.FileBasedIndexImpl - Index editorconfig.index.name will be built. 
2019-05-26 18:16:19,331 [  13469]   INFO - il.indexing.FileBasedIndexImpl - Index CompassFunctionsIndex will be built. 
2019-05-26 18:16:19,336 [  13474]   INFO - il.indexing.FileBasedIndexImpl - Index js.test.names will be built. 
2019-05-26 18:16:19,341 [  13479]   INFO - il.indexing.FileBasedIndexImpl - Index js.package.index will be built. 
2019-05-26 18:16:19,344 [  13482]   INFO - il.indexing.FileBasedIndexImpl - Index js.custom.single.entry.index will be built. 
2019-05-26 18:16:19,347 [  13485]   INFO - il.indexing.FileBasedIndexImpl - Index js.implicit.elements.index will be built. 
2019-05-26 18:16:19,351 [  13489]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.template.cache will be built. 
2019-05-26 18:16:19,354 [  13492]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.ui.router.views.index will be built. 
2019-05-26 18:16:19,356 [  13494]   INFO - il.indexing.FileBasedIndexImpl - Index angularjs.app.index will be built. 
2019-05-26 18:16:19,359 [  13497]   INFO - il.indexing.FileBasedIndexImpl - Index WebComponentsIndex will be built. 
2019-05-26 18:16:19,362 [  13500]   INFO - il.indexing.FileBasedIndexImpl - Index MeteorTemplateIndex will be built. 
2019-05-26 18:16:19,365 [  13503]   INFO - il.indexing.FileBasedIndexImpl - Index http.request.execution.environment will be built. 
2019-05-26 18:16:19,369 [  13507]   INFO - il.indexing.FileBasedIndexImpl - Index yaml.keys.name will be built. 
2019-05-26 18:16:19,374 [  13512]   INFO - il.indexing.FileBasedIndexImpl - Index DartImportIndex will be built. 
2019-05-26 18:16:19,378 [  13516]   INFO - il.indexing.FileBasedIndexImpl - Index DartPathIndex will be built. 
2019-05-26 18:16:19,380 [  13518]   INFO - il.indexing.FileBasedIndexImpl - Index DartClassIndex will be built. 
2019-05-26 18:16:19,383 [  13521]   INFO - il.indexing.FileBasedIndexImpl - Index DartLibraryIndex will be built. 
2019-05-26 18:16:19,385 [  13523]   INFO - il.indexing.FileBasedIndexImpl - Index DartComponentIndex will be built. 
2019-05-26 18:16:19,386 [  13524]   INFO - il.indexing.FileBasedIndexImpl - Index DartSymbolIndex will be built. 
